event,n,unique25,unique75,n_good,unique25_good,unique75_good
0.0,4551,0.376,0.544,487.0,0.3798767967145791,0.5379876796714579
1.0,1215,0.248,0.36,479.0,0.24634655532359082,0.3465553235908142
2.0,1096,0.082,0.202,490.0,0.07755102040816327,0.19183673469387755
3.0,2033,0.28,0.476,464.0,0.27370689655172414,0.46120689655172414
4.0,625,0.064,0.128,486.0,0.06172839506172839,0.11522633744855967
5.0,616,0.074,0.19,472.0,0.06779661016949153,0.1652542372881356
6.0,810,0.15,0.276,495.0,0.14747474747474748,0.27070707070707073
7.0,567,0.108,0.162,489.0,0.10429447852760736,0.15337423312883436
8.0,655,0.164,0.314,482.0,0.16390041493775934,0.3029045643153527
9.0,386,0.05181347150259067,0.06994818652849741,383.0,0.04960835509138381,0.06527415143603134
10.0,884,0.246,0.414,484.0,0.24380165289256198,0.4049586776859504
11.0,864,0.128,0.338,486.0,0.11728395061728394,0.32098765432098764
12.0,722,0.23,0.336,489.0,0.21881390593047034,0.3210633946830266
13.0,657,0.062,0.126,479.0,0.060542797494780795,0.11899791231732777
14.0,495,0.16767676767676767,0.25656565656565655,488.0,0.1680327868852459,0.25614754098360654
15.0,584,0.166,0.276,463.0,0.1771058315334773,0.28077753779697623
16.0,664,0.258,0.522,481.0,0.2598752598752599,0.5239085239085239
17.0,419,0.1718377088305489,0.2243436754176611,411.0,0.170316301703163,0.22384428223844283
18.0,393,0.07633587786259542,0.16030534351145037,373.0,0.0777479892761394,0.16085790884718498
19.0,591,0.252,0.294,490.0,0.24897959183673468,0.2897959183673469
20.0,359,0.07242339832869081,0.22841225626740946,352.0,0.07386363636363637,0.23011363636363635
21.0,386,0.018134715025906734,0.031088082901554404,386.0,0.018134715025906734,0.031088082901554404
22.0,325,0.10461538461538461,0.24307692307692308,323.0,0.1021671826625387,0.24148606811145512
23.0,438,0.15296803652968036,0.3515981735159817,403.0,0.1513647642679901,0.3349875930521092
24.0,289,0.06228373702422145,0.11418685121107267,284.0,0.06338028169014084,0.11619718309859155
25.0,613,0.22,0.38,486.0,0.2139917695473251,0.3683127572016461
26.0,792,0.07,0.302,489.0,0.05930470347648262,0.2903885480572597
27.0,295,0.04406779661016949,0.06440677966101695,295.0,0.04406779661016949,0.06440677966101695
28.0,372,0.12903225806451613,0.20967741935483872,368.0,0.13043478260869565,0.21195652173913043
29.0,312,0.1282051282051282,0.21474358974358973,293.0,0.12286689419795221,0.19112627986348124
30.0,314,0.10828025477707007,0.1751592356687898,289.0,0.11072664359861592,0.1695501730103806
31.0,231,0.06493506493506493,0.09090909090909091,231.0,0.06493506493506493,0.09090909090909091
32.0,317,0.25236593059936907,0.48580441640378547,304.0,0.24671052631578946,0.4769736842105263
33.0,195,0.005128205128205128,0.03076923076923077,195.0,0.005128205128205128,0.03076923076923077
34.0,220,0.10454545454545454,0.17272727272727273,215.0,0.10232558139534884,0.16279069767441862
35.0,366,0.14207650273224043,0.18579234972677597,362.0,0.13812154696132597,0.17955801104972377
36.0,374,0.12032085561497326,0.18983957219251338,367.0,0.1226158038147139,0.1771117166212534
37.0,250,0.14,0.188,246.0,0.12601626016260162,0.17479674796747968
38.0,312,0.17307692307692307,0.266025641025641,304.0,0.17105263157894737,0.2598684210526316
39.0,49884,0.728,0.96,461.0,0.7483731019522777,0.96529284164859
40.0,175,0.04,0.05142857142857143,170.0,0.041176470588235294,0.041176470588235294
41.0,285,0.3649122807017544,0.4666666666666667,278.0,0.36330935251798563,0.4568345323741007
42.0,237,0.05063291139240506,0.11392405063291139,230.0,0.04782608695652174,0.1
43.0,1161,0.398,0.504,486.0,0.39300411522633744,0.49176954732510286
44.0,553,0.178,0.3,488.0,0.18032786885245902,0.29713114754098363
45.0,185,0.1891891891891892,0.3189189189189189,181.0,0.18232044198895028,0.30386740331491713
46.0,191,0.09424083769633508,0.16753926701570682,185.0,0.0918918918918919,0.16756756756756758
47.0,164,0.06097560975609756,0.07317073170731707,160.0,0.05,0.0625
48.0,182,0.14285714285714285,0.2307692307692308,175.0,0.14285714285714285,0.21714285714285714
49.0,166,0.12048192771084335,0.21686746987951808,166.0,0.12048192771084335,0.21686746987951808
