event,n,unique25,unique75,n_good,unique25_good,unique75_good
1,3175,0.354,0.5,430,0.348837209,0.5
2,7333,0.566,0.77,492,0.567073171,0.766260163
3,3280,0.558,0.718,356,0.561797753,0.702247191
6,790,0.196,0.292,470,0.176595745,0.270212766
8,750,0.142,0.18,291,0.189003436,0.24742268
9,479,0.152400835,0.217118998,372,0.137096774,0.182795699
10,1267,0.372,0.474,422,0.367298578,0.450236967
12,2399,0.478,0.648,484,0.47107438,0.638429752
13,269,0.078066914,0.115241636,263,0.076045627,0.11026616
14,464,0.237068966,0.318965517,425,0.218823529,0.287058824
15,187,0.005347594,0.037433155,0,0,0
16,543,0.21,0.314,487,0.201232033,0.299794661
17,580,0.286,0.372,379,0.306068602,0.393139842
18,272,0.165441176,0.261029412,254,0.145669291,0.216535433
19,1027,0.426,0.57,413,0.464891041,0.617433414
21,377,0.265251989,0.344827586,356,0.25,0.323033708
23,286,0.206293706,0.262237762,216,0.222222222,0.273148148
24,391,0.225063939,0.360613811,362,0.20441989,0.328729282
25,997,0.232,0.366,461,0.20824295,0.336225597
29,269,0.208178439,0.234200743,231,0.203463203,0.229437229
30,907,0.248,0.442,424,0.216981132,0.377358491
31,272,0.275735294,0.323529412,262,0.251908397,0.301526718
32,287,0.059233449,0.146341463,279,0.046594982,0.129032258
33,351,0.279202279,0.353276353,309,0.262135922,0.323624595
34,131,0.099236641,0.145038168,130,0.092307692,0.138461538
37,333,0.201201201,0.336336336,258,0.162790698,0.224806202
38,275,0.156363636,0.214545455,262,0.152671756,0.194656489
39,503,0.224,0.384,467,0.220556745,0.376873662
40,1067,0.432,0.572,451,0.4345898,0.56097561
43,135,0.148148148,0.274074074,132,0.128787879,0.257575758
45,691,0.244,0.414,443,0.255079007,0.44469526
46,225,0.324444444,0.413333333,219,0.310502283,0.401826484
47,123,0.243902439,0.308943089,114,0.201754386,0.263157895
48,241,0.128630705,0.20746888,237,0.122362869,0.194092827
50,263,0.171102662,0.216730038,230,0.130434783,0.147826087
51,108,0.009259259,0.009259259,0,0,0
52,140,0.257142857,0.314285714,125,0.264,0.32
53,70,0.128571429,0.142857143,65,0.076923077,0.076923077
54,239,0.142259414,0.251046025,101,0.227722772,0.267326733
55,365,0.309589041,0.364383562,298,0.281879195,0.33557047
57,172,0.209302326,0.308139535,141,0.134751773,0.170212766
58,79,0.164556962,0.164556962,78,0.153846154,0.153846154
60,244,0.114754098,0.192622951,240,0.108333333,0.179166667
61,68,0.132352941,0.161764706,66,0.106060606,0.136363636
63,68,0.044117647,0.058823529,67,0.029850746,0.044776119
65,54,0.018518519,0.018518519,54,0.018518519,0.018518519
67,69,0.086956522,0.144927536,68,0.073529412,0.132352941
68,172,0.220930233,0.401162791,159,0.169811321,0.352201258
69,172,0.26744186,0.337209302,151,0.231788079,0.291390728
70,165,0.436363636,0.521212121,158,0.430379747,0.506329114
