event,n,unique25,unique75,n_good,unique25_good,unique75_good
1,3175,0.15086614173228347,0.32818897637795275,2779.0,0.15437207628643396,0.3198992443324937
2,7333,,,,,
3,3280,0.2661585365853659,0.5774390243902439,2404.0,0.2870216306156406,0.5682196339434277
6,790,0.1468354430379747,0.23544303797468355,744.0,0.13575268817204303,0.21505376344086025
8,750,0.12,0.16133333333333333,448.0,0.16294642857142858,0.21875
9,479,0.1419624217118998,0.21920668058455114,372.0,0.13172043010752688,0.17473118279569896
10,1267,0.2565114443567482,0.3788476716653512,1094.0,0.27787934186471663,0.3628884826325411
12,2399,0.2955398082534389,0.4847853272196749,2293.0,0.2948102921936328,0.4827736589620584
13,269,0.074349442,0.111524164,263.0,0.072243346,0.11026616
14,464,0.198275862,0.318965517,425.0,0.17882352899999998,0.28
15,187,0.005347594000000001,0.053475936,0.0,0.0,0.0
16,543,0.182320442,0.29281768,530.0,0.177358491,0.28301886800000003
17,580,0.23275862100000005,0.344827586,437.0,0.244851259,0.368421053
18,272,0.161764706,0.246323529,254.0,0.145669291,0.216535433
19,1027,0.286270691,0.5073028239999999,869.0,0.311852704,0.545454545
21,377,0.233421751,0.331564987,356.0,0.22752809,0.311797753
23,286,0.202797203,0.283216783,216.0,0.208333333,0.300925926
24,391,0.202046036,0.342710997,362.0,0.17955801100000002,0.312154696
25,997,0.166499498,0.301905717,920.0,0.151086957,0.27173913
29,269,0.163568773,0.230483271,231.0,0.164502165,0.225108225
30,907,0.181918412,0.41786108,753.0,0.163346614,0.35325365200000003
31,272,0.25,0.330882353,262.0,0.232824427,0.305343511
32,287,0.06271777,0.135888502,279.0,0.053763441,0.11827957
33,351,0.259259259,0.344729345,309.0,0.233009709,0.297734628
34,131,0.099236641,0.13740458,130.0,0.092307692,0.130769231
37,333,0.186186186,0.339339339,258.0,0.143410853,0.23255814
38,275,0.127272727,0.210909091,262.0,0.122137405,0.198473282
39,503,0.157057654,0.381709742,470.0,0.157446809,0.372340426
40,1067,0.324273664,0.508903468,960.0,0.319791667,0.495833333
43,135,0.133333333,0.266666667,132.0,0.121212121,0.25
45,691,0.198263386,0.390738061,615.0,0.206504065,0.408130081
46,225,0.324444444,0.422222222,219.0,0.315068493,0.406392694
47,123,0.227642276,0.333333333,114.0,0.192982456,0.280701754
48,241,0.112033195,0.203319502,237.0,0.109704641,0.194092827
50,263,0.171102662,0.201520913,230.0,0.130434783,0.152173913
51,108,0.009259259,0.009259259,0.0,0.0,0.0
52,140,0.242857143,0.278571429,125.0,0.248,0.28800000000000003
53,70,0.128571429,0.128571429,65.0,0.076923077,0.076923077
54,239,0.146443515,0.234309623,101.0,0.237623762,0.267326733
55,365,0.298630137,0.369863014,298.0,0.27852349,0.345637584
57,172,0.209302326,0.308139535,141.0,0.13475177300000002,0.17021276600000002
58,79,0.164556962,0.164556962,78.0,0.153846154,0.153846154
60,244,0.114754098,0.192622951,240.0,0.108333333,0.183333333
61,68,0.132352941,0.191176471,66.0,0.106060606,0.166666667
63,68,0.044117647,0.05882352900000001,67.0,0.029850746,0.044776119
65,54,0.018518519,0.018518519,54.0,0.018518519,0.018518519
67,69,0.086956522,0.15942029,68.0,0.073529412,0.147058824
68,172,0.203488372,0.412790698,159.0,0.16981132100000002,0.3710691820000001
69,172,0.26744186,0.343023256,151.0,0.225165563,0.284768212
70,165,0.393939394,0.527272727,158.0,0.392405063,0.5126582279999999
